Borough,Neighborhood,ID,Name
Queens,Floral Park,4bb52e681344b713e3f99b04,Masala 2 Wok
Queens,Queensboro Hill,4bec7befb68520a1fb301287,Asian Gourmet Restaurant
Queens,Queensboro Hill,516a0508e4b0648c480168df,乐滔轩
Queens,Queensboro Hill,550f4aee498e6f26c6372780,guan dong yi jia
Queens,Hillcrest,4b92cda9f964a520531d34e3,Green Lotus Asian Cuisine
Queens,Forest Hills Gardens,4eb6fa550aaf1abedff6cba5,MoCA Asian Bistro
Staten Island,Stapleton,4dc5e9c3887717c88030d15c,Bay House Bistro
Staten Island,New Dorp,4ba95707f964a5203a203ae3,Empire East
Staten Island,New Dorp,5738dace498ed8ebd77275f4,Simple Asia
Staten Island,Oakwood,4ba95707f964a5203a203ae3,Empire East
Brooklyn,Ditmas Park,54077800498ed3ee81d54fd7,Hunger Pang
Staten Island,Westerleigh,4babeca6f964a520ded53ae3,China New Star
Staten Island,Westerleigh,4eb6feaf8b81a81f91381c41,Hibachi Grill & Supreme Buffet
Staten Island,Westerleigh,586b09b46431e533bfe6f886,Flaming Grill& Supreme Buffet
Staten Island,Graniteville,4babeca6f964a520ded53ae3,China New Star
Staten Island,Dongan Hills,4c085a77ffb8c9b64d366861,Chen's Restaurant
Staten Island,Midland Beach,4cab976da6e08cfa21eba694,Bay House
Staten Island,Grant City,5738dace498ed8ebd77275f4,Simple Asia
Staten Island,Grant City,4cab976da6e08cfa21eba694,Bay House
Staten Island,New Dorp Beach,4ba95707f964a5203a203ae3,Empire East
Staten Island,Huguenot,4bf9d5174a67c9284e8e27cf,Chopsticks House
Staten Island,Butler Manor,4e4cc36ebd413c4cc66bf944,Chef Hong
Staten Island,Greenridge,4c72eedb9e706dcbe12f4c62,Oriental Taste
Staten Island,Heartland Village,4ba3caf9f964a520e55f38e3,East Pacific
Manhattan,Noho,591b9e948496ca6e22cdd3f6,Ramen Ishida
Manhattan,Noho,53e80aae498ecbb68d4c572b,Tuome
Manhattan,Civic Center,51df85c9498edb5ea3ad2e2a,Khe-Yo
Manhattan,Civic Center,49cebdeaf964a520815a1fe3,Macao Trading Co.
Staten Island,Elm Park,4babeca6f964a520ded53ae3,China New Star
Staten Island,Elm Park,4eb6feaf8b81a81f91381c41,Hibachi Grill & Supreme Buffet
Staten Island,Elm Park,586b09b46431e533bfe6f886,Flaming Grill& Supreme Buffet
Brooklyn,Paerdegat Basin,4bf49b526a31d13a0608962e,Double Dragon Chinese Food
Queens,Utopia,4b92cda9f964a520531d34e3,Green Lotus Asian Cuisine
Queens,Utopia,4ae3a4d6f964a5209d9721e3,Tokyo Steak
Queens,Hunters Point,4b47eb5cf964a520f54326e3,SHI
Queens,Hunters Point,5112f745e4b095315641c547,Shi To Go
Queens,Sunnyside Gardens,54e0f288498ef4224091ca4c,Dumplings & Things
Brooklyn,Homecrest,52d873be498e14a2bf838f0c,Fuciaana Asian Food & Crystal Grill
Staten Island,Richmond Valley,4e4cc36ebd413c4cc66bf944,Chef Hong
Manhattan,Hudson Yards,5c8736c0178a2a002cf4adce,Kawi
